ID,NAMES ,PARTY,STATE,FEDERAL  CONSTITUENCY,GENDER,AGE,STATUS
302,OJERINDE OLUMIDE ABIODUN,APC,OYO,IREPO/ORELOPE/OLORUNSOGO,Male,35,New Representative
303,SHINA ABIOLA PELLER,APC,OYO,ISEYIN/ITESIWAJU/KAJOLA/IWAJOWA,Male,42,New Representative
304,AJAO JACOB ADEJUMO,ADP,OYO,OGBOMOSO-NORTH/OGBOMOSHO-SOUTH/,Male,67,New Representative
305,ODEBUNMI OLUSEGUN,APC,OYO,OGO-OLUWA/SURULERE,Male,67,Returning Representative
306,TOLULOPE TIWALOLA AKANDE-SADIPE,APC,OYO,OLUYOLE,Female,52,New Representative
307,OLATUBOSUN OLAJIDE BOLADALE,APC,OYO,SAKI-EAST/SAKI-WEST/ATISBO,Male,49,Returning Representative
308,SIMON DAVOU MWADKWON,PDP,PLATEAU,BARKINLADI/RIYOM,Male,50,New Representative
309,SOLOMON MAREN BULUS,PDP,PLATEAU,BOKKOS/MANGU,Male,48,Returning Representative
310,MAITALA HARUNA,APC,PLATEAU,JOS-NORTH/BASSA,Male,64,New Representative
311,DACHUNG MUSA BAGOS,PDP,PLATEAU,JOS-SOUTH/JOS-EAST,Male,41,New Representative
312,YUSUF ADAMU GAGDI,APC,PLATEAU,KANKE/PANKSHIN/KANAM,Male,38,New Representative
313,BENI BUTMAK LAR,PDP,PLATEAU,LANGTANG-NORTH/LANGTANG,Female,50,Returning Representative
314,LONGGAP KOMSOL ALPHONSUS,APC,PLATEAU,MIKANG/QUA-ANPAN/SHEDAM,Male,51,New Representative
315,AHMED IDRIS,APC,PLATEAU,WASE,Male,54,Returning Representative
316,SOLOMON BOB,PDP,RIVERS,ABUAODUAL/AHOADA-EAST,Male,48,New Representative
317,NNAM OBI PRINCE UCHECHUKU,PDP,RIVERS,AHOADA-WEST/OGBA EGBEMA NDONI,Male,42,Returning Representative
318,BOMA GOODHEAD,PDP,RIVERS,AKUKUTORU/ASARI TORU,Female,47,Returning Representative
319,AWAJI-INOMBEK ABIANTE DAGOMIE,PDP,RIVERS,ANDONI/OPOBO NKORO,Male,51,Returning Representative
320,DAGOGO DOCTOR FARAH,PDP,RIVERS,BONNY/DEGEMA,Male,35,New Representative
321,CHISOM PROMISE DIKE,PDP,RIVERS,ELEME/OYIGBO/TAI,Male,41,New Representative
322,EMERENGWA BONIFACE SUNDAY,PDP,RIVERS,EMOHUA/IKWERRE,Male,58,New Representative
323,EPHRAIM NWUZI,PDP,RIVERS,ETCHE/OMUMA,Male,53,New Representative
324,DUMNAMENE ROBISON DEKOR,PDP,RIVERS,GOKANA/KHANA,Male,50,Returning Representative
325,CHIDA KINGSLEY OGUNDU,PDP,RIVERS,OBIO AKPOR,Male,52,Returning Representative
326,GOGO BRIGHT TAMUNO,PDP,RIVERS,OKRIKA/OGUBOLO,Male,53,Returning Representative
327,KENNETH ANAYO CHIKERE,PDP,RIVERS,PORT HARCOURT I,Male,63,Returning Representative
328,IGWE CHINYERE EMMANUEL,PDP,RIVERS,PORT HARCOURT II,Male,53,New Representative
329,MANI MAISHINKO,PDP,SOKOTO,BINJI/SILAME,Male,50,New Representative
330,SHEHU ALIYU A,APC,SOKOTO,BODINGA/DANGE-SHUNI/TURETA,Male,55,Returning Representative
331,SARKIN ADAR MUSA,APC,SOKOTO,GORONYO/GADA,Male,53,Returning Representative
332,YUSUF ISAH KURDULA,APC,SOKOTO,TANGAZA/GUDU,Male,58,New Representative
333,BALARABE SALAME ABDULLAHI,APC,SOKOTO,ILLELA/GWADABAWA,Male,57,Returning Representative
334,MOHAMMED SAIDU BARGAJA,PDP,SOKOTO,ISA/SABON BIRNIN,Male,56,New Representative
335,KOKANI BALA,APC,SOKOTO,KEBBE/TAMBUWAL,Male,56,New Representative
336,AHMAD ABDULLAHI KALAMBAINA,APC,SOKOTO,KWARE/WAMAKKO,Male,50,New Representative
337,ALIYU IBRAHIM ALMUSTAPHA,APC,SOKOTO,WURNO/RABAH,Male,45,New Representative
338,UMARU ABUBAKAR YABO,APC,SOKOTO,YABO/SHAGARI,Male,47,New Representative
339,ABUBAKAR III HASSAN BALA,APC,SOKOTO,SOKOTO-NORTH/SOKOTO-SOUTH,Male,62,Returning Representative
340,DANLADI BAIDU TIJO,PDP,TARABA,KARIM LAMIDO LAU/ARDO-KOLA,Male,51,Returning Representative
341,ABDULSALAM GAMBO MUBURAK,APC,TARABA,BALI/GASSOL,Male,,New Representative
342,RIMAMNDE SHAWULU KWEWUM,PDP,TARABA,TAKUM/DONGA/USSA,Male,57,Returning Representative
343,DAVID FUOH ABEL,PDP,TARABA,SARDAUNA/KURMI/GASHAKA,Male,50,New Representative
344,USMAN DANJUMA SHIDDI,APGA,TARABA,IBI/WUKARI,Male,50,Returning Representative
345,KASIMU BELLO MAIGARI,APC,TARABA,JALINGO/YERRO/ZING,Male,,Returning Representative
346,ZAKARIYAU MOHAMMED GALADIMA,APC,YOBE,BADE/JAKUSKO,Male,58,Returning Representative
347,LAWAN SHETTIMA ALI,APC,YOBE,BURSARI/GEIDAM/YUNUSARI,Male,52,New Representative
348,KHADIJA BUKAR ABBA IBRAHIM,APC,YOBE,DAMATURU/GUJBA/GULANI/TARMUWA,Female,51,Returning Representative
349,ABUBAKAR YERIMA IDIRIS,APC,YOBE,FIKA/FUNE,Male,54,New Representative
350,TIJJANI ZANNAH ZAKARIYA,APC,YOBE,MACHINA/NGURU/YUSUFARI/KARASUWA,Male,52,New Representative
351,IBRAHIM UMAR POTISKUM,APC,YOBE,NANGERE/POTISKUM,Male,62,New Representative
352,KABIRU YAHAYA,PDP,ZAMFARA,ANKA/TALATA MAFARA,Male,41,New Representative
353,AHMED MUHAMMAD BAKURA,PDP,ZAMFARA,BAKURA/MARADUN,Male,63,New Representative
354,SHEHU AHMED,PDP,ZAMFARA,BUNGUDU/MARU,Male,54,New Representative
355,SULAIMAN ABUBAKAR GUMI,PDP,ZAMFARA,GUMMI/BUKKUYUM,Male,44,New Representative
356,KABIRU AMADU,PDP,ZAMFARA,GUSAU/TSAFE,Male,35,New Representative
357,UMAR SANI DAN-GALADIMA,PDP,ZAMFARA,KAURA-NAMODA/BIRNIN MAGAJI,Male,45,New Representative
358,BELLO HASSAN SHINKAFI,PDP,ZAMFARA,SHINKAFI/ZURMI,Male,49,New Representative
